Video ID,Playlist Video Creation Timestamp
S5W0dT_vxNg,2012-03-26T08:14:12+00:00
S5W0dT_vxNg,2012-03-26T08:14:12+00:00
 -O822nwo4bk,2012-03-26T08:14:13+00:00
YKAYopDvA3I,2012-03-26T08:14:13+00:00
m85ScFCjjfE,2012-03-26T08:14:13+00:00
hD5AcG1LCjU,2012-03-26T08:14:13+00:00
nSQzUVlESYY,2012-03-26T08:14:13+00:00
reE5w7lbt5M,2012-03-26T08:14:13+00:00
cW5iSr0NZ88,2012-03-26T08:14:13+00:00
Y4T07S605a8,2012-03-26T08:14:13+00:00
G9uza2j8u-k,2012-03-26T08:14:13+00:00
JJ1X8-N-ar4,2012-03-26T08:14:13+00:00
fMWy4bKNPfg,2012-03-26T08:14:13+00:00
rbiyUx4aAIk,2012-03-26T08:14:13+00:00
Kcw6hy3EZII,2012-03-26T08:14:13+00:00
Io70IjOwLaA,2012-03-26T08:14:13+00:00
HqP5l7-ehh0,2012-03-26T08:14:13+00:00
NV25MFjueBE,2012-03-26T08:14:13+00:00
0Pr3t1z4nBs,2012-03-26T08:14:13+00:00
jpTtw_VLQKE,2012-03-26T08:14:13+00:00
Q7XfsPnVGV8,2012-03-26T08:14:13+00:00
v5PjErK_ZHM,2012-03-26T08:14:13+00:00
yEZUDFomfIk,2012-03-26T08:14:13+00:00
wugZJ2LGgkc,2012-03-26T08:14:13+00:00
4GRvWPtXc5w,2012-03-26T08:14:13+00:00
1niGCVTbvuM,2012-03-26T08:14:13+00:00
rrI6DgJTP40,2012-03-26T08:14:13+00:00
tAbxs-cAvG8,2012-03-26T08:14:13+00:00
g2qY5dGC_wY,2012-03-26T08:14:13+00:00
87NabGwgS8U,2012-03-26T08:14:13+00:00
5ZuUEG5Sym0,2012-03-26T08:14:13+00:00
T7Njzm19y3M,2012-03-26T08:14:13+00:00
 -RTxnKYenik,2012-03-26T08:14:13+00:00
 -RTxnKYenik,2012-03-26T08:14:13+00:00
ZSKkEylD7t0,2012-03-26T08:14:14+00:00
lDFlGmkLD24,2012-03-26T08:14:14+00:00
JlSFcrLfIdY,2012-03-26T08:14:14+00:00
IyN6pMT0wVU,2012-03-26T08:14:14+00:00
SsHC716xaq8,2012-03-26T08:14:14+00:00
3WdcL3-F9zE,2012-03-26T08:14:14+00:00
0zJrwx5x84A,2012-03-26T08:14:14+00:00
X9l0lYzTndY,2012-03-26T08:14:14+00:00
vTZDVxHcsgk,2012-03-26T08:14:14+00:00
NJrd9FdBlPo,2012-03-26T08:14:14+00:00
NJrd9FdBlPo,2012-03-26T08:14:14+00:00
oCm3Bny4-kA,2012-03-26T08:14:14+00:00
dbhlVtCuOc0,2012-03-26T08:14:14+00:00
1SDJPu57qUs,2012-03-26T08:14:14+00:00
sIfSc8J6r48,2012-03-26T08:14:14+00:00
lABTaErsN-c,2012-03-26T08:14:14+00:00
zwkaWFwD3tI,2012-03-26T08:14:14+00:00
BgZx1iQW9GA,2012-03-26T08:14:14+00:00
p0meCAXxA1w,2012-03-26T08:14:14+00:00
sDEagIaNEfs,2012-03-26T08:14:14+00:00
KvpmqWSzNAk,2012-03-26T08:14:14+00:00
dHXwxGgNXm0,2012-03-26T08:14:14+00:00
5e_MaFcVNlw,2012-03-26T08:14:14+00:00
XN2nEio_mmA,2012-03-26T08:14:14+00:00
kCIaYw8h7Ts,2012-03-26T08:14:14+00:00
-41sL5HFg9k,2012-03-26T08:14:14+00:00
lCTiR_ZY4rs,2012-03-26T08:14:14+00:00
