Channel Id,Channel Url,Channel Title
UCrq3JYirgV-BLluzTF6X_7A,http://www.youtube.com/channel/UCrq3JYirgV-BLluzTF6X_7A,STRANGE ÆONS
UCrr7y8rEXb7_RiVniwvzk9w,http://www.youtube.com/channel/UCrr7y8rEXb7_RiVniwvzk9w,Thought Slime
UCs9WfIvLdL0WSAFaRl9FOAQ,http://www.youtube.com/channel/UCs9WfIvLdL0WSAFaRl9FOAQ,Beige Frequency
UCse6QIKj-dHMWgKSmag8JUA,http://www.youtube.com/channel/UCse6QIKj-dHMWgKSmag8JUA,Ghostface Killah
UCt7fwAhXDy3oNFTAzF2o8Pw,http://www.youtube.com/channel/UCt7fwAhXDy3oNFTAzF2o8Pw,theneedledrop
UCtinbF-Q-fVthA0qrFQTgXQ,http://www.youtube.com/channel/UCtinbF-Q-fVthA0qrFQTgXQ,CaseyNeistat
UCtoaZpBnrd0lhycxYJ4MNOQ,http://www.youtube.com/channel/UCtoaZpBnrd0lhycxYJ4MNOQ,HasanAbi
UCuCkxoKLYO_EQ2GeFtbM_bw,http://www.youtube.com/channel/UCuCkxoKLYO_EQ2GeFtbM_bw,Half as Interesting
UCuo9VyowIT-ljA5G2ZuC6Yw,http://www.youtube.com/channel/UCuo9VyowIT-ljA5G2ZuC6Yw,Eddy Burback
UCupvZG-5ko_eiXAupbDfxWw,http://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,CNN
UCv6G61MipNKwpi7707l42EQ,http://www.youtube.com/channel/UCv6G61MipNKwpi7707l42EQ,DJ Peach Cobbler
UCvN9kbIqjRhWaE0GVBLWi0w,http://www.youtube.com/channel/UCvN9kbIqjRhWaE0GVBLWi0w,HasanAbi Archive
UCvixJtaXuNdMPUGdOPcY8Ag,http://www.youtube.com/channel/UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show
UCvlj0IzjSnNoduQF0l3VGng,http://www.youtube.com/channel/UCvlj0IzjSnNoduQF0l3VGng,Some More News
UCxHcoI9ndIdAihEB7ODTOfQ,http://www.youtube.com/channel/UCxHcoI9ndIdAihEB7ODTOfQ,Trash Theory
UCyNtlmLB73-7gtlBz00XOQQ,http://www.youtube.com/channel/UCyNtlmLB73-7gtlBz00XOQQ,Folding Ideas
UCyWDmyZRjrGHeKF-ofFsT5Q,http://www.youtube.com/channel/UCyWDmyZRjrGHeKF-ofFsT5Q,Internet Comment Etiquette with Erik
UCz0HITWbcUYEHi3TZXTyFrw,http://www.youtube.com/channel/UCz0HITWbcUYEHi3TZXTyFrw,CLR Bruce Rivers
UCz2n05fvYYoVTrhq1ZUnyHA,http://www.youtube.com/channel/UCz2n05fvYYoVTrhq1ZUnyHA,HasanAbi Industries (Fan Channel)
UCzb3awiPsRt_xYnDp60DE5w,http://www.youtube.com/channel/UCzb3awiPsRt_xYnDp60DE5w,VideOandA





